symbol,company_name,exchange,fiscal_year,year_end_date,revenue,gross_profit,net_income,operating_cash_flow,free_cash_flow,created_at,updated_at
1010.SR,Riyad Bank,Tadawul,2024,2024-12-31,17252501000.00,,9321894000.00,14065931000.00,12293620000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1010.SR,Riyad Bank,Tadawul,2023,2023-12-31,15758743000.00,,8045844000.00,-5920495000.00,-8867284000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1010.SR,Riyad Bank,Tadawul,2022,2022-12-31,13328144000.00,,7019322000.00,1998305000.00,700866000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1010.SR,Riyad Bank,Tadawul,2021,2021-12-31,11575571000.00,,6025379000.00,-10026167000.00,-10758662000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1020.SR,Bank AlJazira,Tadawul,2024,2024-12-31,3779125000.00,,1230954000.00,1916975000.00,1664334000.00,2025-09-30 22:20:53.218853+03:00,2025-09-30 22:20:53.218853+03:00
1020.SR,Bank AlJazira,Tadawul,2023,2023-12-31,3323080000.00,,1019972000.00,-1683604000.00,-1887576000.00,2025-09-30 22:20:53.218853+03:00,2025-09-30 22:20:53.218853+03:00
1020.SR,Bank AlJazira,Tadawul,2022,2022-12-31,3429643000.00,,1109088000.00,4548446000.00,4344529000.00,2025-09-30 22:20:53.218853+03:00,2025-09-30 22:20:53.218853+03:00
1020.SR,Bank AlJazira,Tadawul,2021,2021-12-31,3546884000.00,,1006076000.00,70427000.00,-76283000.00,2025-09-30 22:20:53.218853+03:00,2025-09-30 22:20:53.218853+03:00
1030.SR,The Saudi Investment Bank,Tadawul,2024,2024-12-31,4174249000.00,,1956630000.00,4523580000.00,4140926000.00,2025-09-30 22:20:58.365665+03:00,2025-09-30 22:20:58.365665+03:00
1030.SR,The Saudi Investment Bank,Tadawul,2023,2023-12-31,3966150000.00,,1761607000.00,9720910000.00,9502480000.00,2025-09-30 22:20:58.365665+03:00,2025-09-30 22:20:58.365665+03:00
1030.SR,The Saudi Investment Bank,Tadawul,2022,2022-12-31,3293640000.00,,1507855000.00,-3029424000.00,-3482805000.00,2025-09-30 22:20:58.365665+03:00,2025-09-30 22:20:58.365665+03:00
1030.SR,The Saudi Investment Bank,Tadawul,2021,2021-12-31,2758248000.00,,1061656000.00,1465999000.00,1284209000.00,2025-09-30 22:20:58.365665+03:00,2025-09-30 22:20:58.365665+03:00
1030.SR,The Saudi Investment Bank,Tadawul,2020,2020-12-31,,,,,,2025-09-30 22:20:58.365665+03:00,2025-09-30 22:20:58.365665+03:00
1050.SR,Banque Saudi Fransi,Tadawul,2024,2024-12-31,9621734000.00,,4544071000.00,4771141000.00,4191297000.00,2025-09-30 22:21:03.016662+03:00,2025-09-30 22:21:03.016662+03:00
1050.SR,Banque Saudi Fransi,Tadawul,2023,2023-12-31,9398142000.00,,4222733000.00,70939000.00,-478756000.00,2025-09-30 22:21:03.016662+03:00,2025-09-30 22:21:03.016662+03:00
1050.SR,Banque Saudi Fransi,Tadawul,2022,2022-12-31,8021256000.00,,3575130000.00,-400703000.00,-776402000.00,2025-09-30 22:21:03.016662+03:00,2025-09-30 22:21:03.016662+03:00
1050.SR,Banque Saudi Fransi,Tadawul,2021,2021-12-31,7244825000.00,,3449877000.00,7850596000.00,7590739000.00,2025-09-30 22:21:03.016662+03:00,2025-09-30 22:21:03.016662+03:00
1060.SR,Saudi Awwal Bank,Tadawul,2024,2024-12-31,14136138000.00,,8070461000.00,-748934000.00,-1642316000.00,2025-09-30 22:21:07.523428+03:00,2025-09-30 22:21:07.523428+03:00
1060.SR,Saudi Awwal Bank,Tadawul,2023,2023-12-31,12814086000.00,,7002373000.00,8294229000.00,7739459000.00,2025-09-30 22:21:07.523428+03:00,2025-09-30 22:21:07.523428+03:00
1060.SR,Saudi Awwal Bank,Tadawul,2022,2022-12-31,9654205000.00,,4827605000.00,30547294000.00,29886264000.00,2025-09-30 22:21:07.523428+03:00,2025-09-30 22:21:07.523428+03:00
1060.SR,Saudi Awwal Bank,Tadawul,2021,2021-12-31,7683267000.00,,3204427000.00,-15725504000.00,-16182923000.00,2025-09-30 22:21:07.523428+03:00,2025-09-30 22:21:07.523428+03:00
1060.SR,Saudi Awwal Bank,Tadawul,2020,2020-12-31,,,,,,2025-09-30 22:21:07.523428+03:00,2025-09-30 22:21:07.523428+03:00
1080.SR,Arab National Bank,Tadawul,2024,2024-12-31,9469351000.00,,4966022000.00,9303643000.00,8676301000.00,2025-09-30 22:21:12.095412+03:00,2025-09-30 22:21:12.095412+03:00
1080.SR,Arab National Bank,Tadawul,2023,2023-12-31,8544737000.00,,4070510000.00,1211663000.00,832565000.00,2025-09-30 22:21:12.095412+03:00,2025-09-30 22:21:12.095412+03:00
