symbol,company_name,exchange,data_date,last_close_price,price_1m_ago,price_3m_ago,price_6m_ago,price_9m_ago,price_12m_ago,week_52_high,week_52_low,year_3_high,year_3_low,year_5_high,year_5_low,created_at,updated_at
2222.SR,Saudi Arabian Oil Company,Tadawul,2025-09-30,24.620,23.600,24.442,25.616,26.975,25.674,27.889,23.040,32.092,23.040,34.089,22.766,2025-09-30 20:37:29.568083+03:00,2025-10-01 00:49:39.447454+03:00
1120.SR,Al Rajhi Banking and Investment Corporation,Tadawul,2025-09-30,107.200,93.750,96.000,99.101,95.850,78.907,108.000,78.907,108.000,60.453,108.872,36.244,2025-09-30 21:28:44.146231+03:00,2025-10-01 00:49:44.038803+03:00
2381.SR,Arabian Drilling Company,Tadawul,2025-09-30,78.800,73.600,82.000,93.300,107.397,104.441,118.235,72.000,205.691,72.000,205.691,72.000,2025-09-30 21:50:27.497483+03:00,2025-09-30 21:54:10.883005+03:00
2382.SR,ADES Holding Company,Tadawul,2025-09-30,16.290,15.080,12.875,15.931,16.979,18.983,20.286,11.987,25.103,11.987,25.103,11.987,2025-09-30 21:50:31.814274+03:00,2025-09-30 21:54:15.492151+03:00
2380.SR,Rabigh Refining and Petrochemical Company,Tadawul,2025-09-30,7.380,6.610,7.940,7.690,8.240,7.780,8.920,6.260,15.380,6.260,24.270,6.260,2025-09-30 21:50:36.059720+03:00,2025-09-30 21:54:20.079852+03:00
4030.SR,The National Shipping Company of Saudi Arabia,Tadawul,2025-09-30,27.240,21.980,23.620,24.680,21.040,22.920,27.660,20.640,27.660,13.381,27.660,9.630,2025-09-30 21:50:40.464966+03:00,2025-09-30 21:54:24.470883+03:00
2030.SR,Saudi Arabian Refineries Company,Tadawul,2025-09-30,61.600,56.600,63.600,63.500,71.900,75.800,84.200,52.500,98.874,52.500,198.630,52.500,2025-09-30 21:50:45.394819+03:00,2025-09-30 21:54:28.773158+03:00
1202.SR,Middle East Company for Manufacturing and Producing Paper,Tadawul,2025-09-30,27.620,27.860,28.320,29.750,35.900,39.800,43.600,24.220,48.950,24.220,49.796,11.203,2025-09-30 21:50:49.649584+03:00,2025-09-30 21:54:33.034775+03:00
3007.SR,Zahrat Al Waha For Trading Company,Tadawul,2025-09-30,26.420,24.400,26.000,30.316,33.461,32.822,36.605,22.000,51.704,22.000,59.287,22.000,2025-09-30 21:50:53.942355+03:00,2025-09-30 21:54:37.351954+03:00
1201.SR,Takween Advanced Industries,Tadawul,2025-09-30,7.800,7.410,8.440,9.250,10.880,11.700,13.060,6.980,23.967,6.980,52.759,6.980,2025-09-30 21:50:58.290350+03:00,2025-09-30 21:54:58.553337+03:00
1322.SR,Al Masane Al Kobra Mining Company,Tadawul,2025-09-30,73.500,63.100,65.550,56.000,62.930,68.313,73.850,46.800,73.850,46.147,80.317,46.147,2025-09-30 21:51:02.766578+03:00,2025-09-30 21:55:03.001091+03:00
