symbol,company_name,exchange,fiscal_year,fiscal_quarter,quarter_end_date,revenue,gross_profit,net_income,operating_cash_flow,free_cash_flow,created_at,updated_at
1010.SR,Riyad Bank,Tadawul,2025,2,2025-06-30,4503007000.00,,2596620000.00,5777068000.00,5373365000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1010.SR,Riyad Bank,Tadawul,2025,1,2025-03-31,4473486000.00,,2486007000.00,-15793948000.00,-16263450000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1010.SR,Riyad Bank,Tadawul,2024,4,2024-12-31,4399051000.00,,2257382000.00,-889277000.00,-1501820000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1010.SR,Riyad Bank,Tadawul,2024,3,2024-09-30,4540353000.00,,2654086000.00,14833390000.00,14370258000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1010.SR,Riyad Bank,Tadawul,2024,2,2024-06-30,4226048000.00,,2337703000.00,-5413460000.00,-5821355000.00,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1010.SR,Riyad Bank,Tadawul,2024,1,2024-03-31,,,,,,2025-09-30 22:20:48.739059+03:00,2025-09-30 22:20:48.739059+03:00
1020.SR,Bank AlJazira,Tadawul,2025,2,2025-06-30,1101841000.00,,382127000.00,1863486000.00,1798279000.00,2025-09-30 22:20:53.218853+03:00,2025-09-30 22:20:53.218853+03:00
1020.SR,Bank AlJazira,Tadawul,2025,1,2025-03-31,1079872000.00,,360995000.00,-1821056000.00,-1884883000.00,2025-09-30 22:20:53.218853+03:00,2025-09-30 22:20:53.218853+03:00
1020.SR,Bank AlJazira,Tadawul,2024,4,2024-12-31,966872000.00,,280242000.00,1064480000.00,984603000.00,2025-09-30 22:20:53.218853+03:00,2025-09-30 22:20:53.218853+03:00
1020.SR,Bank AlJazira,Tadawul,2024,3,2024-09-30,1020721000.00,,332721000.00,1484020000.00,1451288000.00,2025-09-30 22:20:53.218853+03:00,2025-09-30 22:20:53.218853+03:00
