symbol,company_name,exchange,sector,industry,currency,listing_date,created_at,updated_at
2222.SR,Saudi Arabian Oil Company,Tadawul,Energy,Oil & Gas Integrated,SAR,,2025-09-30 20:37:29.568083+03:00,2025-09-30 20:37:29.568083+03:00
1120.SR,Al Rajhi Banking and Investment Corporation,Tadawul,Financial Services,Banks - Regional,SAR,,2025-09-30 21:28:44.146231+03:00,2025-09-30 21:28:44.146231+03:00
7010.SR,Saudi Telecom Company,Tadawul,Communication Services,Telecom Services,SAR,,2025-09-30 21:28:48.409666+03:00,2025-09-30 21:28:48.409666+03:00
2381.SR,Arabian Drilling Company,Tadawul,Energy,Oil & Gas Drilling,SAR,,2025-09-30 21:50:27.497483+03:00,2025-09-30 21:50:27.497483+03:00
2382.SR,ADES Holding Company,Tadawul,Energy,Oil & Gas Drilling,SAR,,2025-09-30 21:50:31.814274+03:00,2025-09-30 21:50:31.814274+03:00
2380.SR,Rabigh Refining and Petrochemical Company,Tadawul,Energy,Oil & Gas Refining & Marketing,SAR,,2025-09-30 21:50:36.059720+03:00,2025-09-30 21:50:36.059720+03:00
4030.SR,The National Shipping Company of Saudi Arabia,Tadawul,Industrials,Marine Shipping,SAR,,2025-09-30 21:50:40.464966+03:00,2025-09-30 21:50:40.464966+03:00
2030.SR,Saudi Arabian Refineries Company,Tadawul,Industrials,Conglomerates,SAR,,2025-09-30 21:50:45.394819+03:00,2025-09-30 21:50:45.394819+03:00
1202.SR,Middle East Company for Manufacturing and Producing Paper,Tadawul,Basic Materials,Paper & Paper Products,SAR,,2025-09-30 21:50:49.649584+03:00,2025-09-30 21:50:49.649584+03:00
3007.SR,Zahrat Al Waha For Trading Company,Tadawul,Consumer Cyclical,Packaging & Containers,SAR,,2025-09-30 21:50:53.942355+03:00,2025-09-30 21:50:53.942355+03:00
1201.SR,Takween Advanced Industries,Tadawul,Consumer Cyclical,Packaging & Containers,SAR,,2025-09-30 21:50:58.290350+03:00,2025-09-30 21:50:58.290350+03:00
1322.SR,Al Masane Al Kobra Mining Company,Tadawul,Basic Materials,Other Precious Metals & Mining,SAR,,2025-09-30 21:51:02.766578+03:00,2025-09-30 21:51:02.766578+03:00
4143.SR,Al Taiseer Group TALCO Industrial Company,Tadawul,Basic Materials,Aluminum,SAR,,2025-09-30 21:51:07.101515+03:00,2025-09-30 21:51:07.101515+03:00
2150.SR,The National Company for Glass Industries,Tadawul,Consumer Cyclical,Packaging & Containers,SAR,,2025-09-30 21:51:11.355871+03:00,2025-09-30 21:51:11.355871+03:00
2180.SR,Filling and Packing Materials Manufacturing Company,Tadawul,Consumer Cyclical,Packaging & Containers,SAR,,2025-09-30 21:51:15.628349+03:00,2025-09-30 21:51:15.628349+03:00
2220.SR,National Metal Manufacturing and Casting Co.,Tadawul,Basic Materials,Steel,SAR,,2025-09-30 21:55:20.496544+03:00,2025-09-30 21:55:20.496544+03:00
2300.SR,Saudi Paper Manufacturing Company,Tadawul,Basic Materials,Paper & Paper Products,SAR,,2025-09-30 21:55:24.895564+03:00,2025-09-30 21:55:24.895564+03:00
1323.SR,United Carton Industries Company,Tadawul,Consumer Cyclical,Packaging & Containers,SAR,,2025-09-30 21:55:29.098398+03:00,2025-09-30 21:55:29.098398+03:00
3008.SR,Al Kathiri Holding Company,Tadawul,Basic Materials,Building Materials,SAR,,2025-09-30 21:55:33.664266+03:00,2025-09-30 21:55:33.664266+03:00
