symbol,company_name,exchange,market_cap,total_debt,total_cash,book_value,status
2222.SR,Saudi Arabian Oil Company,Tadawul,6103020077056,348455993344,202129997824,6.064,complete
1120.SR,Al Rajhi Banking and Investment Corporation,Tadawul,434291998720,16179259392,22310856704,26.247,complete
7010.SR,Saudi Telecom Company,Tadawul,227664117760,17490081792,20245565440,16.574,complete
2381.SR,Arabian Drilling Company,Tadawul,7086684672,3152934144,510428512,66.239,complete
2382.SR,ADES Holding Company,Tadawul,17956659200,13011062784,886252032,5.981,complete
2380.SR,Rabigh Refining and Petrochemical Company,Tadawul,12582557696,28545736704,463158016,5.758,complete
4030.SR,The National Shipping Company of Saudi Arabia,Tadawul,25461006336,12337446912,2312636928,14.918,complete
2030.SR,Saudi Arabian Refineries Company,Tadawul,952733184,395771,282432704,21.317,complete
1202.SR,Middle East Company for Manufacturing and Producing Paper,Tadawul,2393733376,708987776,551485760,18.664,complete
3007.SR,Zahrat Al Waha For Trading Company,Tadawul,594449984,181807296,27197408,12.442,complete
1201.SR,Takween Advanced Industries,Tadawul,598769024,676451968,27868000,4.661,complete
1322.SR,Al Masane Al Kobra Mining Company,Tadawul,6688800256,117643120,10130487,14.505,complete
4143.SR,Al Taiseer Group TALCO Industrial Company,Tadawul,1700800000,68718392,144559824,12.148,complete
2150.SR,The National Company for Glass Industries,Tadawul,1361401984,15684270,38757740,24.085,complete
2180.SR,Filling and Packing Materials Manufacturing Company,Tadawul,424399200,66284272,6080741,11.332,complete
2220.SR,National Metal Manufacturing and Casting Co.,Tadawul,634721984,89101680,36915692,6.692,complete
2300.SR,Saudi Paper Manufacturing Company,Tadawul,2163759872,530975200,53428836,14.824,complete
1323.SR,United Carton Industries Company,Tadawul,1266400000,60694504,55589092,14.49,complete
3008.SR,Al Kathiri Holding Company,Tadawul,488255072,148944512,6282201,0.462,complete
1301.SR,United Wire Factories Company,Tadawul,690768000,2564462,51747996,13.134,complete
1320.SR,Saudi Steel Pipes Company,Tadawul,2693905152,278785504,127442656,15.509,complete
2090.SR,National Gypsum Company,Tadawul,666687872,37407932,4145729,10.901,complete
2200.SR,Arabian Pipes Company,Tadawul,1250000000,211339008,55332000,2.267,complete
2240.SR,Zamil Industrial Investment Company,Tadawul,2010000000,2270188032,443361984,8.348,complete
2360.SR,Saudi Vitrified Clay Pipe Company,Tadawul,426000000,46886612,6117953,5.455,complete
1210.SR,Basic Chemical Industries Company,Tadawul,782330176,355449824,53007200,20.893,complete
1211.SR,Saudi Arabian Mining Company (Ma'aden),Tadawul,253933469696,35369775104,10372094976,15.119,complete
1304.SR,Al Yamamah Steel Industries Company,Tadawul,1909703680,975092096,43004180,11.921,complete
1321.SR,East Pipes Integrated Company for Industry,Tadawul,4054049792,80816296,216837728,38.891,complete
